597::Arthur Taxier
598::Arthur Treacher
599::Arthur Wong
600::Arturo Bonín
601::Arturo Soto Rangel
602::Arturo Valls
603::Artus de Penguern
604::Arye Gross
605::Asa Butterfield
606::Asakadzu Nakai
607::Asakazu Nakai
608::Ash Brannon
609::Ashely Rowe
610::Ashley C. Williams
611::Ashley Greene
612::Ashley Johnson
613::Ashley Judd
614::Ashley Scott
615::Ashley Tisdale
616::Ashlyn Sanchez
617::Ashton Kutcher
618::Asier Etxeandia
619::Astrid Bergès-Frisbey
620::Athina Rachel Tsangari
621::Ato Essandoh
622::Atsushi Okui
623::Aubrey Morris
624::Audie Murphy
625::Audrey Christie
626::Audrey Fleurot
627::Audrey Hepburn
628::Audrey Landers
629::Audrey Tautou
630::Audrey Wells
631::August Diehl
632::August Zirner
633::Aurelius Battaglia
634::Aurora Bautista
635::Aurora Snow
636::Aurélien Recoing
637::Austin Pendleton
638::Avery Brooks
639::Aviva Baumann
640::Ayush Mahesh Khedekar
641::Ayush Tandon
642::B. J. Novak
643::BD Wong
644::BT
645::Babaloo Mandel
646::Babu Santana
647::Bahar Soomekh
648::Bai Ling
649::Bailey Drucker
650::Baker
651::Bao San
652::Barbara Bates
653::Barbara Billingsley
654::Barbara Davis
655::Barbara Drew
656::Barbara Garrick
657::Barbara Hershey
658::Barbara Hicks
659::Barbara Loden
660::Barbara New
661::Barbara O'Neil
662::Barbara Rush
663::Barbet Schroeder
664::Barbra Streisand
665::Barragán
666::Barret Oliver
667::Barry Bostwick
668::Barry Cook
669::Barry Del Sherman
670::Barry Dennen
671::Barry Fitzgerald
672::Barry Gibb
673::Barry Humphries
674::Barry Jones
675::Barry Levinson
676::Barry Miller
677::Barry Morrow
678::Barry Pearl
679::Barry Pepper
680::Barry Peterson
681::Barry Primus
682::Barry Rothbart
683::Barry Shabaka Henley
684::Barry Sonnenfeld
685::Barry Sullivan
686::Barry Winch
687::Bart Johnson
688::Barton MacLane
689::Basil Poledouris
690::Basil Rathbone
691::Basil Ruysdael
692::Basil Wallace
693::Bates Wilder
694::Battista Lena
695::Baz Luhrmann
696::Beate Jensen
697::Beatie Edney
698::Beatrice Rosen
699::Beatriz Santiago
700::Bebe Barron
701::Bebe Neuwirth
702::Becky Johnson
703::Bee Duffell
704::Bee Gees
705::Bee Vang
706::Beeban Kidron
707::Bela Lugosi
708::Belinda Bauer
709::Belinda McClory
710::Belén Ballesteros
711::Belén Rueda
712::Ben Affleck
713::Ben Bode
714::Ben Chaplin
715::Ben Cooper
716::Ben Cross
717::Ben Davidson
718::Ben Davis
719::Ben Derrick
720::Ben Elton
721::Ben Foster
722::Ben Garant
723::Ben Gazzara
724::Ben Hecht
725::Ben Johnson
726::Ben Kingsley
727::Ben Loyd-Holmes
728::Ben Maddow
729::Ben McKenzie
730::Ben Mendelsohn
731::Ben Miles
732::Ben Murphy
733::Ben Piazza
734::Ben Platt
735::Ben Queen
736::Ben Ramsey
737::Ben Richardson
738::Ben Ridgeway
739::Ben Ripley
740::Ben Sharpsteen
741::Ben Shenkman
742::Ben Stein
743::Ben Stiller
744::Ben Vereen
745::Ben Watkins
746::Ben Whishaw
747::Ben York Jones
748::Benedict Cumberbatch
749::Benedict Fitzgerald
750::Benedict Wong
751::Benicio Del Toro
752::Benito Pocino
753::Benito Stefanelli
754::Benjamin Bratt
755::Benjamin Millepied
756::Benjamin Petry
757::Benjamin Siksou
758::Bennett Yellin
759::Benny Andersson
760::Benoît Delhomme
761::Bercelio Moya
762::Berend McKenzie
763::Bernadette Peters
764::Bernard Fox
765::Bernard Herrmann
766::Bernard Hill
767::Bernard Kay
768::Bernard Miles
769::Bernard White
770::Bernard-Pierre Donnadieu
771::Bernardo Bertolucci
772::Bernardo Bonezzi
773::Bernd Schultheis
774::Bernie Mac
775::Bert Freed
776::Bert Glennon
777::Bert Haines
778::Bert Kalmar
779::Bert Lahr
780::Bert Michaels
781::Bert Ramson
782::Berta Ojea
783::Bertie Carvel
784::Berto Romero
785::Berton Churchill
786::Bess Motta
787::Beth Grant
788::Bethel Leslie
789::Betsy Brantley
790::Bette Davis
791::Bette Midler
792::Betty Buckley
793::Betty Comden
794::Betty Garrett
795::Betty Morrisey
796::Betty Thomas
797::Betty White
798::Beulah Bondi
799::Beverly D'Angelo
800::Beverly Dennis
801::Beverly Wills
802::Beyoncé Knowles
803::Bibo Bergeron
804::Biff Elliot
805::Bigote Arrocet
806::Bill Bailey
807::Bill Bixby
808::Bill Bryden
809::Bill Butler
810::Bill Campbell
811::Bill Canterbury
812::Bill Cobbs
813::Bill Condon
814::Bill Conti
815::Bill Duke
816::Bill Hader
817::Bill Hodnett
818::Bill Hunter
819::Bill Irwin
820::Bill Kalmenson
821::Bill Lancaster
822::Bill Macy
823::Bill McKinney
824::Bill Moseley
825::Bill Mumy
826::Bill Murray
827::Bill Nighy
828::Bill Nunn
829::Bill Paxton
830::Bill Peet
831::Bill Pope
832::Bill Pullman
833::Bill Raymond
834::Bill Roberts
835::Bill Roe
836::Bill Walsh
837::Bill Williams
838::Bill Wittliff
839::Bill Zuckert
840::Billie Burke
841::Billie Cook
842::Billie Whitelaw
843::Billy Barty
844::Billy Beck
845::Billy Bob Thornton
846::Billy Boyd
847::Billy Burke
848::Billy Connolly
849::Billy Crudup
850::Billy Crystal
851::Billy Curtis
852::Billy Dee Williams
853::Billy Drago
854::Billy Frolick
855::Billy Gilbert
856::Billy Gray
857::Billy Hartman
858::Billy J. Mitchell
859::Billy Magnussen
860::Billy May
861::Billy Nelson
862::Billy Ray
863::Billy Ray Cyrus
864::Billy Wilder
865::Billy Zane
866::Bin Bunluerit
867::Bin Li
868::Bingen Mendizábal
869::Björk
870::Björn Ulvaeus
871::Black Thomas
872::Blair Brown
873::Blair Underwood
874::Blake Clark
875::Blake Edwards
876::Blake Neely
877::Blake Snyder
878::Blanca Marsillach
879::Blanca Portillo
880::Blasco Giurato
881::Blynn Jeffrey Mark
882::Blythe Danner
883::Bo Goldman
884::Bo Hopkins
885::Bo Svenson
886::Boaz Yakin
887::Bob Adrian
888::Bob Anderson
889::Bob Ari
890::Bob Baker
891::Bob Balaban
892::Bob Barr
893::Bob Bingham
894::Bob Burns
895::Bob Dolman
896::Bob Dylan
897::Bob Fosse
898::Bob Gale
899::Bob Geldof
900::Bob Gunton
901::Bob Hoskins
902::Bob Merrill
903::Bob Paynter
904::Bob Peck
905::Bob Penny
906::Bob Peterson
907::Bob Rafelson
908::Bob Shaw
909::Bob Spiers
910::Bob Steele
911::Bob Tzudiker
912::Bob Walker
913::Bobby Cannavale
914::Bobby Farrelly
915::Bodhi Elfman
916::Bodil Rosing
917::Bojan Bazelli
918::Bokeem Moodbine
919::Bokeem Woodbine
920::Bonnie Aarons
921::Bonnie Bedelia
922::Bonnie Hunt
923::Bonnie Somerville
924::Bonnie Wright
925::Bono
926::Booboo Stewart
927::Borden Chase
928::Boris Kaufman
929::Boris Lee Krutonog
930::Boris Strugatskiy
931::Boubker Ait El Caid
932::Brad Bird
933::Brad Davis
934::Brad Dexter
935::Brad Dourif
936::Brad Fiedel
937::Brad Garrett
938::Brad Lewis
